Code,Indicator Name,Long definition,Source
TSP,"TSP, $/mt, current","TSP (triple superphosphate), up to September 2006 bulk, spot, f.o.b. US Gulf; from October 2006 onwards Tunisian, granular, f.o.b.",Fertilizer Week; Fertilizer International; World Bank.
KTSP,"TSP, $/mt, constant 2000$",,World Bank.
UREA_EE_BULK,"Urea, E. Europe, bulk, $/mt, current","Urea, (Black Sea), bulk, spot,  f.o.b. Black Sea (primarily Yuzhnyy) beginning July 1991; for 1985-91 (June) f.o.b. Eastern Europe",Fertilizer Week; Fertilizer International; World Bank.
WHEAT_CANADI,"Wheat, Canada, $/mt, current","Wheat (Canada), no. 1, Western Red Spring (CWRS), in store, St. Lawrence, export price",Canadian Grain Commission; Thomson Reuters Datastream; World Bank.
KWHEAT_CANADI,"Wheat, Canada, $/mtv",,World Bank.
WHEAT_US_HRW,"Wheat, US, HRW, $/mt, current","Wheat (US), no. 1, hard red winter, ordinary protein, export price delivered at the US Gulf port for prompt or 30 days shipment",Bloomberg; US Department of Agriculture; World Bank.
KWHEAT_US_HRW,"Wheat, US, HRW, $/mt, constant 2000$",,World Bank.
WHEAT_US_SRW,"Wheat, US, SRW, $/mt, current","Wheat (US), no. 2, soft red winter, export price delivered at the US Gulf port for prompt or 30 days shipment",US Department of Agriculture; World Bank.
KWHEAT_US_SRW,"Wheat, US, SRW, $/mt, constant 2000$",,World Bank.
WOODPULP,"Woodpulp, $/mt, current","Woodpulp (Sweden), softwood, sulphate, bleached, air-dry weight, c.i.f.  North Sea ports","Statistisches Bundesamt, Germany; Allman Manadsstatistik, Sweden; World Bank."
KWOODPULP,"Woodpulp, $/mt, constant 2000$",,World Bank.
ZINC,"Zinc, cents/kg, current","Zinc (LME), high grade, minimum 99.95% purity, settlement price beginning April 1990; previously special high grade, minimum 99.995%, cash prices ","Platts Metals Week, Engineering and Mining Journal; Thomson Reuters Datastream; World Bank."
KZINC,"Zinc, cents/kg, constant 2000$",,World Bank.
